#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.39479 fm^-1 (group = 10)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -42.44 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-66.7132      -58.8543       4.49362            1.39479
-66.5932      -59.2724       4.68619            1.39479
-66.4732      -59.7058       4.89337            1.39479
-66.3532      -60.1555       5.11646            1.39479
-66.2332      -60.6224       5.35693            1.39479
-66.1132      -61.1077       5.61644            1.39479
-65.9932      -61.6122       5.89684            1.39479
-65.8732      -62.1373       6.20025            1.39479
-65.7532      -62.6839       6.52904            1.39479
-65.6332      -63.2535       6.88589            1.39479
-65.5132      -63.8471       7.27384            1.39479
-65.3932      -64.4662       7.69638            1.39479
-65.2732      -65.112       8.15742            1.39479
-65.1532      -65.7859       8.66148            1.39479
-65.0332      -66.489       9.21369            1.39479
-64.9132      -67.2225       9.81993            1.39479
-64.7932      -67.9873       10.487            1.39479
-64.6732      -68.7843       11.2225            1.39479
-64.5532      -69.6138       12.0356            1.39479
-64.4332      -70.4755       12.9364            1.39479
-64.3132      -71.3686       13.9368            1.39479
-64.1932      -72.2909       15.0505            1.39479
-64.0732      -73.2389       16.2932            1.39479
-63.9532      -74.2071       17.6828            1.39479
-63.8332      -75.1871       19.2401            1.39479
-63.7132      -76.167       20.9883            1.39479
-63.5932      -77.1295       22.9536            1.39479
-63.4732      -78.0511       25.1649            1.39479
-63.3532      -78.8994       27.6532            1.39479
-63.2332      -79.6308       30.4505            1.39479
-63.1132      -80.1874       33.5874            1.39479
-62.9932      -80.4939       37.0895            1.39479
-62.8732      -80.4545       40.9715            1.39479
-62.7532      -79.9511       45.2284            1.39479
-62.6332      -78.8442       49.8235            1.39479
-62.5132      -76.9796       54.6738            1.39479
-62.3932      -74.2033       59.6344            1.39479
-62.2732      -70.3875       64.4875            1.39479
-62.1532      -65.4672       68.9431            1.39479
-62.0332      -59.4815       72.6607            1.39479
-61.9132      -52.6057       75.2971            1.39479
-61.7932      -45.1541       76.5741            1.39479
-61.6732      -37.5441       76.3463            1.39479
-61.5532      -30.2229       74.6398            1.39479
-61.4332      -23.5835       71.6453            1.39479
-61.3132      -17.9011       67.668            1.39479
-61.1932      -13.3084       63.0565            1.39479
-61.0732      -9.80958       58.1403            1.39479
-60.9532      -7.31682       53.1891            1.39479
-60.8332      -5.69105       48.3984            1.39479
-60.7132      -4.77602       43.8932            1.39479
-60.5932      -4.42081       39.7413            1.39479
-60.4732      -4.49194       35.9683            1.39479
-60.3532      -4.87795       32.5725            1.39479
-60.2332      -5.48933       29.5351            1.39479
-60.1132      -6.2563       26.8286            1.39479
-59.9932      -7.12554       24.4214            1.39479
