#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.54653 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-115.932       1.30126e-05       2.54653
-115.232       1.26333e-05       2.54653
-114.532       1.24189e-05       2.54653
-113.832       1.2353e-05       2.54653
-113.132       1.23615e-05       2.54653
-112.432       1.24081e-05       2.54653
-111.732       1.24763e-05       2.54653
-111.032       1.25587e-05       2.54653
-110.332       1.26518e-05       2.54653
-109.632       1.27541e-05       2.54653
-108.932       1.28654e-05       2.54653
-108.232       1.29865e-05       2.54653
-107.532       1.31196e-05       2.54653
-106.832       1.32684e-05       2.54653
-106.132       1.34396e-05       2.54653
-105.432       1.3645e-05       2.54653
-104.732       1.39072e-05       2.54653
-104.032       1.4273e-05       2.54653
-103.332       1.48397e-05       2.54653
-102.632       1.57628e-05       2.54653
-101.932       1.7117e-05       2.54653
-101.232       1.85096e-05       2.54653
-100.532       1.823e-05       2.54653
-99.832       1.75127e-05       2.54653
-99.132       1.79e-05       2.54653
-98.432       1.91122e-05       2.54653
-97.732       1.90233e-05       2.54653
-97.032       1.75434e-05       2.54653
-96.332       1.6604e-05       2.54653
-95.632       1.62776e-05       2.54653
-94.932       1.63317e-05       2.54653
-94.232       1.67081e-05       2.54653
-93.532       1.69581e-05       2.54653
-92.832       1.65974e-05       2.54653
-92.132       1.6272e-05       2.54653
-91.432       1.61543e-05       2.54653
-90.732       1.61534e-05       2.54653
-90.032       1.62114e-05       2.54653
-89.332       1.63016e-05       2.54653
-88.632       1.64114e-05       2.54653
-87.932       1.65341e-05       2.54653
-87.232       1.66661e-05       2.54653
-86.532       1.68054e-05       2.54653
-85.832       1.69506e-05       2.54653
-85.132       1.71007e-05       2.54653
-84.432       1.72554e-05       2.54653
-83.732       1.7414e-05       2.54653
-83.032       1.75765e-05       2.54653
-82.332       1.77426e-05       2.54653
-81.632       1.79121e-05       2.54653
-80.932       1.8085e-05       2.54653
-80.232       1.82613e-05       2.54653
-79.532       1.84409e-05       2.54653
-78.832       1.86238e-05       2.54653
-78.712       1.86555e-05       2.54653
-78.592       1.86873e-05       2.54653
-78.472       1.87192e-05       2.54653
-78.352       1.87511e-05       2.54653
-78.232       1.87832e-05       2.54653
-78.112       1.88154e-05       2.54653
-77.992       1.88477e-05       2.54653
-77.872       1.888e-05       2.54653
-77.752       1.89125e-05       2.54653
-77.632       1.89451e-05       2.54653
-77.512       1.89778e-05       2.54653
-77.392       1.90105e-05       2.54653
-77.272       1.90434e-05       2.54653
-77.152       1.90764e-05       2.54653
-77.032       1.91094e-05       2.54653
-76.912       1.91426e-05       2.54653
-76.792       1.91758e-05       2.54653
-76.672       1.92092e-05       2.54653
-76.552       1.92427e-05       2.54653
-76.432       1.92762e-05       2.54653
-76.312       1.93099e-05       2.54653
-76.192       1.93437e-05       2.54653
-76.072       1.93775e-05       2.54653
-75.952       1.94115e-05       2.54653
-75.832       1.94456e-05       2.54653
-75.712       1.94797e-05       2.54653
-75.592       1.9514e-05       2.54653
-75.472       1.95484e-05       2.54653
-75.352       1.95829e-05       2.54653
-75.232       1.96175e-05       2.54653
-75.112       1.96521e-05       2.54653
-74.992       1.96869e-05       2.54653
-74.872       1.97218e-05       2.54653
-74.752       1.97568e-05       2.54653
-74.632       1.97919e-05       2.54653
-74.512       1.98271e-05       2.54653
-74.392       1.98624e-05       2.54653
-74.272       1.98979e-05       2.54653
-74.152       1.99334e-05       2.54653
-74.032       1.9969e-05       2.54653
-73.912       2.00047e-05       2.54653
-73.792       2.00406e-05       2.54653
-73.672       2.00765e-05       2.54653
-73.552       2.01126e-05       2.54653
-73.432       2.01487e-05       2.54653
-73.312       2.0185e-05       2.54653
-73.192       2.02214e-05       2.54653
-73.072       2.02579e-05       2.54653
-72.952       2.02945e-05       2.54653
-72.832       2.03312e-05       2.54653
-72.712       2.0368e-05       2.54653
-72.592       2.04049e-05       2.54653
-72.472       2.0442e-05       2.54653
-72.352       2.04791e-05       2.54653
-72.232       2.05164e-05       2.54653
-72.112       2.05537e-05       2.54653
-71.992       2.05912e-05       2.54653
-71.872       2.06288e-05       2.54653
-71.752       2.06665e-05       2.54653
-71.632       2.07043e-05       2.54653
-71.512       2.07423e-05       2.54653
-71.392       2.07803e-05       2.54653
-71.272       2.08185e-05       2.54653
-71.152       2.08568e-05       2.54653
-71.032       2.08952e-05       2.54653
-70.912       2.09337e-05       2.54653
-70.792       2.09723e-05       2.54653
-70.672       2.1011e-05       2.54653
-70.552       2.10499e-05       2.54653
-70.432       2.10889e-05       2.54653
-70.312       2.1128e-05       2.54653
-70.192       2.11672e-05       2.54653
-70.072       2.12065e-05       2.54653
-69.952       2.1246e-05       2.54653
-69.832       2.12855e-05       2.54653
-69.712       2.13252e-05       2.54653
-69.592       2.13651e-05       2.54653
-69.472       2.1405e-05       2.54653
-69.352       2.1445e-05       2.54653
-69.232       2.14852e-05       2.54653
-69.112       2.15255e-05       2.54653
-68.992       2.15659e-05       2.54653
-68.872       2.16065e-05       2.54653
-68.752       2.16472e-05       2.54653
-68.632       2.1688e-05       2.54653
-68.512       2.17289e-05       2.54653
-68.392       2.17699e-05       2.54653
-68.272       2.18111e-05       2.54653
-68.152       2.18524e-05       2.54653
-68.032       2.18938e-05       2.54653
-67.912       2.19354e-05       2.54653
-67.792       2.19771e-05       2.54653
-67.672       2.20189e-05       2.54653
-67.552       2.20608e-05       2.54653
-67.432       2.21029e-05       2.54653
-67.312       2.21451e-05       2.54653
-67.192       2.21874e-05       2.54653
-67.072       2.22299e-05       2.54653
-66.952       2.22725e-05       2.54653
-66.832       2.23152e-05       2.54653
-66.712       2.23581e-05       2.54653
-66.592       2.2401e-05       2.54653
-66.472       2.24442e-05       2.54653
-66.352       2.24874e-05       2.54653
-66.232       2.25308e-05       2.54653
-66.112       2.25744e-05       2.54653
-65.992       2.2618e-05       2.54653
-65.872       2.26618e-05       2.54653
-65.752       2.27058e-05       2.54653
-65.632       2.27499e-05       2.54653
-65.512       2.27941e-05       2.54653
-65.392       2.28385e-05       2.54653
-65.272       2.2883e-05       2.54653
-65.152       2.29276e-05       2.54653
-65.032       2.29724e-05       2.54653
-64.912       2.30173e-05       2.54653
-64.792       2.30624e-05       2.54653
-64.672       2.31076e-05       2.54653
-64.552       2.3153e-05       2.54653
-64.432       2.31985e-05       2.54653
-64.312       2.32441e-05       2.54653
-64.192       2.32899e-05       2.54653
-64.072       2.33358e-05       2.54653
-63.952       2.33819e-05       2.54653
-63.832       2.34281e-05       2.54653
-63.712       2.34745e-05       2.54653
-63.592       2.35211e-05       2.54653
-63.472       2.35677e-05       2.54653
-63.352       2.36146e-05       2.54653
-63.232       2.36615e-05       2.54653
-63.112       2.37087e-05       2.54653
-62.992       2.3756e-05       2.54653
-62.872       2.38034e-05       2.54653
-62.752       2.3851e-05       2.54653
-62.632       2.38988e-05       2.54653
-62.512       2.39467e-05       2.54653
-62.392       2.39947e-05       2.54653
-62.272       2.40429e-05       2.54653
-62.152       2.40913e-05       2.54653
-62.032       2.41398e-05       2.54653
-61.912       2.41885e-05       2.54653
-61.792       2.42374e-05       2.54653
-61.672       2.42864e-05       2.54653
-61.552       2.43356e-05       2.54653
-61.432       2.43849e-05       2.54653
-61.312       2.44344e-05       2.54653
-61.192       2.44841e-05       2.54653
-61.072       2.45339e-05       2.54653
-60.952       2.45839e-05       2.54653
-60.832       2.4634e-05       2.54653
-60.712       2.46844e-05       2.54653
-60.592       2.47349e-05       2.54653
-60.472       2.47855e-05       2.54653
-60.352       2.48363e-05       2.54653
-60.232       2.48873e-05       2.54653
-60.112       2.49385e-05       2.54653
-59.992       2.49899e-05       2.54653
-59.872       2.50414e-05       2.54653
-59.752       2.50931e-05       2.54653
-59.632       2.51449e-05       2.54653
-59.512       2.5197e-05       2.54653
-59.392       2.52492e-05       2.54653
-59.272       2.53016e-05       2.54653
-59.152       2.53541e-05       2.54653
-59.032       2.54069e-05       2.54653
-58.912       2.54598e-05       2.54653
-58.792       2.55129e-05       2.54653
-58.672       2.55662e-05       2.54653
-58.552       2.56197e-05       2.54653
-58.432       2.56733e-05       2.54653
-58.312       2.57272e-05       2.54653
-58.192       2.57812e-05       2.54653
-58.072       2.58354e-05       2.54653
-57.952       2.58898e-05       2.54653
-57.832       2.59444e-05       2.54653
-57.712       2.59992e-05       2.54653
-57.592       2.60541e-05       2.54653
-57.472       2.61093e-05       2.54653
-57.352       2.61647e-05       2.54653
-57.232       2.62202e-05       2.54653
-57.112       2.62759e-05       2.54653
-56.992       2.63319e-05       2.54653
-56.872       2.6388e-05       2.54653
-56.752       2.64443e-05       2.54653
-56.632       2.65008e-05       2.54653
-56.512       2.65575e-05       2.54653
-56.392       2.66145e-05       2.54653
-56.272       2.66716e-05       2.54653
-56.152       2.67289e-05       2.54653
-56.032       2.67864e-05       2.54653
-55.912       2.68442e-05       2.54653
-55.792       2.69021e-05       2.54653
-55.672       2.69602e-05       2.54653
-55.552       2.70186e-05       2.54653
-55.432       2.70772e-05       2.54653
-55.312       2.71359e-05       2.54653
-55.192       2.71949e-05       2.54653
-55.072       2.72541e-05       2.54653
-54.952       2.73135e-05       2.54653
-54.832       2.73731e-05       2.54653
-54.712       2.7433e-05       2.54653
-54.592       2.7493e-05       2.54653
-54.472       2.75533e-05       2.54653
-54.352       2.76138e-05       2.54653
-54.232       2.76745e-05       2.54653
