#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.80067 fm^-1 (group = 5)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

72.1899       0.0424713
72.9277       0.0292111
74.2902       0.0170241
75.5081       0.0518704
75.913       0.0232869
76.79       0.0272745
77.6449       0.0154633
78.9139       0.0166028
80.3142       0.00913121
82.5456       0.00437141
83.4879       0.00495432
84.4619       0.00387343
86.2935       0.00744448
86.8301       0.0181
88.0686       0.00823611
88.9602       0.013834
90.2249       0.0146671
91.4338       0.0156213
92.2519       0.016602
93.4151       0.0189144
94.4717       0.0114763
95.8469       0.0163158
96.7071       0.0191465
97.7858       0.0138712
98.7991       0.011921
99.7977       0.0135538
100.936       0.00874855
102.29       0.00715182
102.855       0.0205187
104.102       0.00505935
105.582       0.0173066
106.611       0.00559129
107.764       0.0193372
108.837       0.0092652
109.308       0.00367143
112.381       0.0128138
112.687       0.00312712
114.262       0.00105545
115.563       0.00675278
116.776       0.00552787
117.794       0.00806794
118.827       0.00960643
119.901       0.01016
120.749       0.00878785
121.974       0.0089052
123.143       0.0121936
123.985       0.0149269
124.988       0.0094877
126.274       0.0138098
127.347       0.0137243
128.321       0.010229
129.446       0.0145113
130.316       0.0119764
131.454       0.0163448
132.276       0.0126186
133.319       0.0166041
134.085       0.0127181
135.105       0.00491778
136.675       0.0055782
137.034       0.00634416
138.049       0.00623127
138.315       0.00932335
138.962       0.000251
140.484       0.00391541
141.756       0.00321084
142.237       3.54906e-06
150.964       0.00206248
151.158       0.00267228
151.61       0.00546652
152.271       0.00603311
153.026       0.00702326
153.592       0.00467525
154.469       0.00520545
155.614       0.00395525
156.212       0.00564372
156.977       0.00803727
157.851       0.00452414
158.593       0.00387236
159.643       0.00484365
160.59       0.00369218
161.643       0.00713133
162.452       0.006243
163.201       0.00302065
163.809       0.00288644
164.951       0.000687934
165.709       0.00290261
166.597       0.00132029
167.137       0.000881606
168.362       0.00109795
168.444       0.00462075
170.57       0.00231416
170.636       0.00341459
172.344       0.000276516
174.748       0.000674739
178.043       0.00292518
179.062       0.00216221
179.409       0.00491373
179.896       0.00226623
180.39       0.0043077
181.039       0.00550868
181.556       0.00342596
182.266       0.00185537
183.078       0.00299178
183.71       0.00625649
184.329       0.0033463
185.261       0.00468773
185.639       0.00271703
186.609       0.00550229
187.009       0.00484257
187.788       0.0032544
188.41       0.00359083
188.875       0.00251259
189.581       0.00172751
190.182       0.00112643
191.02       0.0060471
191.265       0.00419206
191.898       0.00466456
192.179       0.00111865
192.837       0.00272158
193.368       0.000751839
193.772       0.00162873
194.213       0.00126356
194.477       0.000782704
194.7       0.000585314
195.25       0.00193578
196.32       0.00317361
197.839       0.0024787
198.192       0.0021035
198.38       0.00165534
199.072       0.000157509
201.147       0.00349703
201.498       0.000121882
203.068       0.000522557
203.455       3.45581e-05
203.95       6.54011e-18
204.588       2.61754e-18
204.816       2.50047e-18
215.748       0.00383092
215.882       0.000901455
216.013       1.307e-18
216.772       0.000524954
216.783       0.000651835
217.032       0.000329475
217.108       0.000597853
217.902       0.00184907
218.095       2.83727e-17
218.772       1.48981e-17
218.862       0.000854788
219.529       1.32396e-17
219.966       4.23298e-17
220.138       0.000366581
220.467       0.00156476
220.6       0.00187245
221.071       1.58895e-17
221.28       2.50081e-17
221.809       6.82323e-18
222.323       2.71825e-18
222.525       0.00025961
222.715       0.000359766
222.741       0.000454947
222.956       1.0872e-17
223.106       8.00024e-18
223.636       1.61238e-17
223.653       3.18535e-18
224.274       4.58317e-18
226.022       0.00306121
226.247       7.81033e-17
226.272       4.72368e-17
226.275       1.16759e-05
228.363       1.9869e-17
229.202       0.0017229
229.244       1.08601e-16
229.648       1.27329e-17
229.762       3.31718e-18
229.933       3.93404e-17
230.771       1.70133e-17
230.771       3.83265e-18
231.524       4.92522e-18
231.524       4.099e-18
231.566       3.58375e-18
231.566       1.79466e-05
232.385       4.60398e-18
232.388       6.802e-18
