#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Ef+ -:- E_max] = -43.7967  -:-  246.649 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0    19.6833       0.000430137
0    20.3833       0.000273887
0    21.0833       0.000195159
0    21.7833       0.000171249
0    22.4833       0.000183389
0    23.1833       0.00018248
0    23.8833       0.000136554
0    24.5833       9.87521e-05
0    25.2833       7.79569e-05
0    25.9833       6.65609e-05
0    26.6833       6.02127e-05
0    27.3833       5.71195e-05
0    28.0833       5.68744e-05
0    28.7833       6.02586e-05
0    29.4833       6.99071e-05
0    30.1833       9.09059e-05
0    30.8833       0.000117813
0    31.5833       0.000108885
0    32.2833       7.8928e-05
0    32.9833       6.02565e-05
0    33.6833       5.08233e-05
0    34.3833       4.604e-05
0    35.0833       4.37513e-05
0    35.7833       4.31106e-05
0    36.4833       4.39471e-05
0    37.1833       4.66457e-05
0    37.8833       5.24203e-05
0    38.5833       6.36989e-05
0    39.2833       8.0321e-05
0    39.9833       9.2305e-05
0    40.6833       9.96975e-05
0    41.3833       9.27045e-05
0    42.0833       8.67607e-05
0    42.7833       8.92737e-05
0    43.4833       9.39214e-05
0    44.1833       0.000103652
0    44.8833       0.000111676
0    45.5833       0.000132045
0    46.2833       0.000184392
0    46.9833       0.000280587
0    47.6833       0.000388282
0    48.3833       0.000414622
0    49.0833       0.000326174
0    49.7833       0.00022888
0    50.4833       0.000180965
0    51.1833       0.000175032
0    51.8833       0.000184144
0    52.5833       0.000171832
0    53.2833       0.00013465
0    53.9833       0.000108435
0    54.6833       9.94527e-05
0    55.3833       8.66623e-05
0    56.0833       7.54773e-05
0    56.7833       7.12995e-05
0    57.4833       7.4002e-05
0    58.1833       7.56357e-05
0    58.8833       6.53052e-05
0    59.5833       5.88504e-05
0    60.2833       6.22724e-05
0    60.9833       7.84587e-05
0    61.6833       0.000111263
0    62.3833       0.000130579
0    63.0833       9.85849e-05
0    63.7833       6.61127e-05
0    64.4833       4.8803e-05
0    65.1833       4.01502e-05
0    65.8833       3.60407e-05
0    66.5833       3.46499e-05
0    67.2833       3.36455e-05
0    67.9833       3.19529e-05
0    68.6833       3.15452e-05
0    69.3833       3.3049e-05
0    70.0833       3.71926e-05
0    70.7833       4.60014e-05
0    71.4833       6.13745e-05
0    72.1833       7.0917e-05
0    72.8833       6.35482e-05
0    73.5833       6.15656e-05
0    74.2833       7.41865e-05
0    74.9833       0.000101387
0    75.6833       0.000119547
0    76.3833       0.000105266
0    77.0833       7.78264e-05
0    77.7833       6.42178e-05
0    78.4833       6.52146e-05
0    79.1833       7.88357e-05
0    79.8833       0.000101875
0    80.5833       0.000111225
0    81.2833       0.000109245
0    81.9833       0.000100608
0    82.6833       9.09554e-05
0    83.3833       9.78463e-05
0    84.0833       9.26189e-05
0    84.7833       6.86222e-05
0    85.4833       5.42296e-05
0    86.1833       5.21578e-05
0    86.8833       6.18153e-05
0    87.5833       7.79709e-05
0    88.2833       7.14197e-05
0    88.9833       5.00432e-05
0    89.6833       3.64297e-05
0    90.3833       2.958e-05
0    91.0833       2.64073e-05
0    91.7833       2.56931e-05
0    92.4833       2.76128e-05
0    93.1833       3.30881e-05
0    93.8833       3.79727e-05
0    94.5833       3.24194e-05
0    95.2833       2.50269e-05
0    95.9833       2.08317e-05
0    96.6833       1.86277e-05
0    97.3833       1.74165e-05
0    98.0833       1.67516e-05
0    98.7833       1.64436e-05
0    99.4833       1.64325e-05
0    100.183       1.67491e-05
0    100.883       1.74869e-05
0    101.583       1.87544e-05
0    102.283       2.09133e-05
0    102.983       2.28499e-05
0    103.683       2.27064e-05
0    104.383       2.29605e-05
0    105.083       2.4695e-05
0    105.783       2.84198e-05
0    106.483       3.43715e-05
0    107.183       4.27347e-05
0    107.883       5.85794e-05
0    108.583       8.84515e-05
0    109.283       0.000122375
0    109.983       0.000129119
0    110.683       0.000101057
0    111.383       7.56237e-05
0    112.083       6.12311e-05
0    112.783       5.23603e-05
0    113.483       5.0728e-05
0    114.183       5.6534e-05
0    114.883       6.73151e-05
0    115.583       8.14154e-05
0    116.283       7.98574e-05
0    116.983       7.45797e-05
0    117.683       8.66267e-05
0    118.383       9.31648e-05
0    119.083       6.85633e-05
0    119.783       4.49383e-05
0    120.483       3.19012e-05
0    121.183       2.49612e-05
0    121.883       2.10839e-05
0    122.583       1.88915e-05
0    123.283       1.78212e-05
0    123.983       1.77652e-05
0    124.683       1.90655e-05
0    125.383       2.26882e-05
0    126.083       2.88169e-05
0    126.783       2.96117e-05
0    127.483       2.29133e-05
0    128.183       1.78783e-05
0    128.883       1.53043e-05
0    129.583       1.40367e-05
0    130.283       1.3474e-05
0    130.983       1.33857e-05
0    131.683       1.37371e-05
0    132.383       1.46537e-05
0    133.083       1.65024e-05
0    133.783       2.01153e-05
0    134.483       2.69121e-05
0    135.183       3.73911e-05
0    135.883       4.16824e-05
0    136.583       3.26371e-05
0    137.283       2.56043e-05
0    137.983       2.4039e-05
0    138.683       2.69963e-05
0    139.383       3.1916e-05
0    140.083       3.41701e-05
0    140.783       3.2976e-05
0    141.483       3.28148e-05
0    142.183       3.60144e-05
0    142.883       3.6831e-05
0    143.583       4.03087e-05
0    144.283       5.19127e-05
0    144.983       5.61921e-05
0    145.683       4.2912e-05
0    146.383       3.33951e-05
0    147.083       3.23166e-05
0    147.783       3.9341e-05
0    148.483       5.18389e-05
0    149.183       5.15783e-05
0    149.883       4.19877e-05
0    150.583       3.31079e-05
0    151.283       2.36599e-05
0    151.983       1.76577e-05
0    152.683       1.43463e-05
0    153.383       1.24209e-05
0    154.083       1.12193e-05
0    154.783       1.04288e-05
0    155.483       9.8931e-06
0    156.183       9.52957e-06
0    156.883       9.29298e-06
0    157.583       9.15947e-06
0    158.283       9.11918e-06
0    158.983       9.17348e-06
0    159.683       9.33535e-06
0    160.383       9.63305e-06
0    161.083       1.0119e-05
0    161.783       1.08888e-05
0    162.483       1.21236e-05
0    163.183       1.41876e-05
0    163.883       1.78624e-05
0    164.583       2.47973e-05
0    165.283       3.68114e-05
0    165.983       4.74941e-05
0    166.683       4.89358e-05
0    167.383       4.38017e-05
0    168.083       4.14784e-05
0    168.783       4.42396e-05
0    169.483       3.74667e-05
0    170.183       2.90037e-05
0    170.883       2.69595e-05
0    171.583       2.75184e-05
0    172.283       2.64499e-05
0    172.983       2.7444e-05
0    173.683       2.53603e-05
0    174.383       2.00018e-05
0    175.083       1.75771e-05
0    175.783       1.82285e-05
0    176.483       1.74589e-05
0    177.183       1.36499e-05
0    177.883       1.08173e-05
0    178.583       9.25824e-06
0    179.283       8.37399e-06
0    179.983       7.82783e-06
0    180.683       7.47697e-06
0    181.383       7.26789e-06
0    182.083       7.18034e-06
0    182.783       7.23158e-06
0    183.483       7.49289e-06
0    184.183       8.03994e-06
0    184.883       8.43688e-06
0    185.583       8.27485e-06
0    186.283       8.44433e-06
0    186.983       9.35427e-06
0    187.683       1.03948e-05
0    188.383       9.90363e-06
0    189.083       9.16054e-06
0    189.783       9.1784e-06
0    190.483       9.9798e-06
0    191.183       1.18339e-05
0    191.883       1.56293e-05
0    192.583       2.28989e-05
0    193.283       3.07861e-05
0    193.983       2.72199e-05
0    194.683       1.97439e-05
0    195.383       1.63998e-05
0    196.083       1.68093e-05
0    196.783       2.05098e-05
0    197.483       2.41114e-05
0    198.183       2.45729e-05
0    198.883       2.8175e-05
0    199.583       2.93537e-05
0    200.283       2.18499e-05
0    200.983       1.58167e-05
0    201.683       1.33991e-05
0    202.383       1.35685e-05
0    203.083       1.447e-05
0    203.783       1.30453e-05
0    204.483       1.18426e-05
0    205.183       1.2196e-05
0    205.883       1.1345e-05
0    206.583       9.09323e-06
0    207.283       7.61451e-06
0    207.983       6.89676e-06
0    208.683       6.63762e-06
0    209.383       6.6631e-06
0    210.083       7.02222e-06
0    210.783       7.84108e-06
0    211.483       8.09133e-06
0    212.183       7.37692e-06
0    212.883       6.93103e-06
0    213.583       6.70434e-06
0    214.283       6.88383e-06
0    214.983       7.67503e-06
0    215.683       8.73364e-06
0    216.383       1.01725e-05
0    217.083       1.2766e-05
0    217.783       1.28527e-05
0    218.483       9.62951e-06
0    219.183       7.26836e-06
0    219.883       6.02773e-06
0    220.583       5.35389e-06
0    221.283       4.95388e-06
0    221.983       4.69584e-06
0    222.683       4.51751e-06
