#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.27768 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-139.732       2.83683e-05       2.27768
-139.032       3.5066e-05       2.27768
-138.332       4.48212e-05       2.27768
-137.632       4.67038e-05       2.27768
-136.932       4.46993e-05       2.27768
-136.232       4.07556e-05       2.27768
-135.532       3.57899e-05       2.27768
-134.832       3.57344e-05       2.27768
-134.132       3.99812e-05       2.27768
-133.432       4.03224e-05       2.27768
-132.732       3.61868e-05       2.27768
-132.032       3.22132e-05       2.27768
-131.332       2.8561e-05       2.27768
-130.632       2.49189e-05       2.27768
-129.932       2.23479e-05       2.27768
-129.232       2.18105e-05       2.27768
-128.532       2.27393e-05       2.27768
-127.832       2.2411e-05       2.27768
-127.132       2.04829e-05       2.27768
-126.432       1.89846e-05       2.27768
-125.732       1.811e-05       2.27768
-125.032       1.77441e-05       2.27768
-124.332       1.7719e-05       2.27768
-123.632       1.79737e-05       2.27768
-122.932       1.85618e-05       2.27768
-122.232       1.96916e-05       2.27768
-121.532       2.18781e-05       2.27768
-120.832       2.61385e-05       2.27768
-120.132       3.21504e-05       2.27768
-119.432       3.19784e-05       2.27768
-118.732       2.61133e-05       2.27768
-118.032       2.21666e-05       2.27768
-117.332       2.02147e-05       2.27768
-116.632       1.92514e-05       2.27768
-115.932       1.87672e-05       2.27768
-115.232       1.85336e-05       2.27768
-114.532       1.84433e-05       2.27768
-113.832       1.84418e-05       2.27768
-113.132       1.85e-05       2.27768
-112.432       1.86015e-05       2.27768
-111.732       1.87372e-05       2.27768
-111.032       1.89025e-05       2.27768
-110.332       1.90957e-05       2.27768
-109.632       1.93184e-05       2.27768
-108.932       1.95755e-05       2.27768
-108.232       1.98779e-05       2.27768
-107.532       2.0243e-05       2.27768
-106.832       2.06813e-05       2.27768
-106.132       2.12146e-05       2.27768
-105.432       2.18343e-05       2.27768
-104.732       2.24992e-05       2.27768
-104.032       2.34906e-05       2.27768
-103.332       2.51912e-05       2.27768
-102.632       2.81169e-05       2.27768
-101.932       3.22536e-05       2.27768
-101.232       3.54533e-05       2.27768
-100.532       3.56938e-05       2.27768
-99.832       3.65427e-05       2.27768
-99.132       4.02482e-05       2.27768
-98.432       4.80805e-05       2.27768
-97.732       5.25191e-05       2.27768
-97.032       4.62157e-05       2.27768
-96.332       3.79255e-05       2.27768
-95.632       3.26092e-05       2.27768
-94.932       3.02262e-05       2.27768
-94.232       2.92023e-05       2.27768
-93.532       2.8315e-05       2.27768
-92.832       2.78021e-05       2.27768
-92.132       2.76772e-05       2.27768
-91.432       2.77864e-05       2.27768
-90.732       2.81403e-05       2.27768
-90.032       2.87254e-05       2.27768
-89.332       2.95532e-05       2.27768
-88.632       3.06824e-05       2.27768
-87.932       3.22338e-05       2.27768
-87.232       3.44314e-05       2.27768
-86.532       3.76973e-05       2.27768
-85.832       4.28708e-05       2.27768
-85.132       5.17399e-05       2.27768
-84.432       6.83008e-05       2.27768
-83.732       0.000100361       2.27768
-83.032       0.000146401       2.27768
-82.332       0.000146639       2.27768
-81.632       0.000101218       2.27768
-80.932       6.98261e-05       2.27768
-80.232       5.39131e-05       2.27768
-79.532       4.5676e-05       2.27768
-78.832       4.11234e-05       2.27768
-78.712       4.05646e-05       2.27768
-78.592       4.00542e-05       2.27768
-78.472       3.95875e-05       2.27768
-78.352       3.91603e-05       2.27768
-78.232       3.8769e-05       2.27768
-78.112       3.84102e-05       2.27768
-77.992       3.80811e-05       2.27768
