#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 0 fm^-1 (group = 0)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

40.7781       0.0125485
40.8794       1.11386e-15
41.6187       2.26899e-16
42.4917       0.00504255
42.8566       0.0064768
44.2719       0.00964748
44.4037       1.06441e-15
45.7269       1.5998e-16
47.2091       0.0161963
47.9261       0.0235013
48.3026       3.99838e-14
48.3805       0.0249949
49.0783       0.0147527
49.3799       0.00311291
51.0733       0.00934399
52.0678       0.0162611
52.7344       0.0125559
54.2473       2.56993e-16
54.8196       0.0107658
55.3205       3.33062e-16
56.383       0.00556201
58.0649       0.0109193
58.7426       7.71434e-17
59.9993       1.56154e-17
61.686       2.20624e-16
62.2499       5.89519e-17
62.2949       0.0198335
63.6871       2.98353e-17
64.8895       1.1033e-17
67.0622       0.00383343
67.1419       3.34052e-17
69.5139       5.60239e-17
70.3869       3.22866e-17
71.8154       1.82098e-16
72.0447       0.0122708
73.2043       1.68537e-16
75.3233       0.0133742
75.3595       6.15971e-15
76.0671       0.0141662
78.8915       0.00043745
79.0151       0.00406038
80.2025       0.0147374
80.2787       4.56334e-15
81.6021       0.0132907
83.4537       4.99613e-16
83.77       0.0151601
84.746       1.61744e-16
87.2362       1.80029e-16
87.834       0.0145842
88.6886       0.00115185
89.2756       1.09457e-16
91.2721       6.65297e-17
93.9184       0.00891252
94.0194       4.02766e-16
94.8272       7.15197e-17
96.3291       0.000203856
101.163       0.00110288
102.92       0.00440688
103.492       0.000423954
104.151       0.00132515
104.902       0.00117635
105.929       0.000464867
106.486       0.00349922
107.148       0.00193093
109.065       0.0118382
109.849       0.0171102
110.578       0.00649985
111.024       0.000926379
111.414       0.00434177
111.81       0.00273496
112.117       0.00536582
112.91       0.00160307
113.33       0.00225803
114.286       0.00572412
114.893       0.00360361
115.818       0.0134394
118.063       0.00826859
118.344       0.014244
119.618       0.00127858
121.198       0.000337764
123.105       3.8646e-17
125.209       3.46722e-17
126.509       0.00836403
126.521       5.3134e-15
127.703       7.6696e-17
128.545       6.87183e-18
134.584       0.00221992
134.635       2.13852e-15
135.709       0.010599
136.423       2.17115e-15
137.743       1.80993e-17
139.343       0.00593702
140.326       0.00648749
142.081       0.00445656
142.347       0.00315667
142.473       0.00476929
143.05       0.00149138
144.791       0.012534
145.285       3.7277e-16
147.369       0.000787089
147.5       6.88786e-16
148.768       0.0118703
149.07       3.05643e-15
